n,score,baseline,improvement,source
1,0.6612543441,0.6612547763,0.0000004322,Baseline+Opt
2,0.4507921402,0.4507921402,0.0000000000,Baseline
3,0.4347580187,0.4347580187,0.0000000000,Baseline
4,0.4166976601,0.4166976601,0.0000000000,Baseline
5,0.4171336382,0.4171336382,0.0000000000,Baseline
6,0.4001085464,0.4001085464,0.0000000000,Baseline
7,0.4002427025,0.4002427025,0.0000000000,Baseline
8,0.3904386129,0.3904386129,0.0000000000,Baseline
9,0.3876630167,0.3876630167,0.0000000000,Baseline
10,0.3899054360,0.3899054360,0.0000000000,Baseline
11,0.3771188110,0.3771188110,0.0000000000,Baseline
12,0.3753299089,0.3753299089,0.0000000000,Baseline
13,0.3733624570,0.3733624570,0.0000000000,Baseline
14,0.3824883549,0.3824883549,0.0000000000,Baseline
15,0.3800731417,0.3800731417,0.0000000000,Baseline
16,0.3823632881,0.3823632881,0.0000000000,Baseline
17,0.3709904709,0.3709904709,0.0000000000,Baseline
18,0.3717358110,0.3717358110,0.0000000000,Baseline
19,0.3794007080,0.3794007080,0.0000000000,Baseline
20,0.3788525078,0.3788525078,0.0000000000,Baseline
21,0.3784922204,0.3784922204,0.0000000000,Baseline
22,0.3805462034,0.3805462034,0.0000000000,Baseline
23,0.3704968145,0.3704968145,0.0000000000,Baseline
24,0.3673508797,0.3673508797,0.0000000000,Baseline
25,0.3735693319,0.3735693319,0.0000000000,Baseline
26,0.3773135026,0.3773135026,0.0000000000,Baseline
27,0.3784286536,0.3784286536,0.0000000000,Baseline
28,0.3745724669,0.3745724669,0.0000000000,Baseline
29,0.3779421434,0.3779421434,0.0000000000,Baseline
30,0.3758019824,0.3758019824,0.0000000000,Baseline
31,0.3733060821,0.3733060821,0.0000000000,Baseline
32,0.3678573338,0.3678573338,0.0000000000,Baseline
33,0.3734378920,0.3734378920,0.0000000000,Baseline
34,0.3729007933,0.3729007933,0.0000000000,Baseline
35,0.3768995184,0.3768995184,0.0000000000,Baseline
36,0.3663322193,0.3663322193,0.0000000000,Baseline
37,0.3720981965,0.3720981965,0.0000000000,Baseline
38,0.3791782990,0.3791782990,0.0000000000,Baseline
39,0.3639138091,0.3639138091,0.0000000000,Baseline
40,0.3742505407,0.3742505407,0.0000000000,Baseline
41,0.3722117674,0.3722117674,0.0000000000,Baseline
42,0.3710249787,0.3710249787,0.0000000000,Baseline
43,0.3759062789,0.3759062789,0.0000000000,Baseline
44,0.3718802355,0.3718802355,0.0000000000,Baseline
45,0.3673852038,0.3673852038,0.0000000000,Baseline
46,0.3689529814,0.3689529814,0.0000000000,Baseline
47,0.3752637293,0.3752637293,0.0000000000,Baseline
48,0.3782951253,0.3782951253,0.0000000000,Baseline
49,0.3714087467,0.3714087467,0.0000000000,Baseline
50,0.3723138853,0.3723138853,0.0000000000,Baseline
51,0.3714599190,0.3714599190,0.0000000000,Baseline
52,0.3696094028,0.3696094028,0.0000000000,Baseline
53,0.3649193739,0.3649193739,0.0000000000,Baseline
54,0.3774988541,0.3774988541,0.0000000000,Baseline
55,0.3677372973,0.3677372973,0.0000000000,Baseline
56,0.3752704132,0.3752704132,0.0000000000,Baseline
57,0.3701694911,0.3701694911,0.0000000000,Baseline
58,0.3714080868,0.3714080868,0.0000000000,Baseline
59,0.3700308543,0.3700308543,0.0000000000,Baseline
60,0.3713078619,0.3713078619,0.0000000000,Baseline
