n,score,baseline,improvement,source
200,0.3710643976,0.3710643976,0.0000000000,ReverseGreedy
199,0.3698460143,0.3698460143,0.0000000000,Baseline
198,0.3677785288,0.3677785288,0.0000000000,Baseline
197,0.3696454248,0.3696454248,0.0000000000,ReverseGreedy
196,0.3668706164,0.3668706164,0.0000000000,Baseline
195,0.3686274370,0.3686274370,0.0000000000,Baseline
194,0.3680324964,0.3680324964,0.0000000000,Baseline
193,0.3680812693,0.3680812693,0.0000000000,Baseline
192,0.3690208633,0.3690208633,0.0000000000,Baseline
191,0.3652613023,0.3652613023,0.0000000000,Baseline
190,0.3671837302,0.3671837302,0.0000000000,ReverseGreedy
189,0.3691265012,0.3691265012,0.0000000000,ReverseGreedy
188,0.3710899401,0.3710899401,0.0000000000,ReverseGreedy
187,0.3730743782,0.3730743782,0.0000000000,ReverseGreedy
186,0.3739622249,0.3739622249,0.0000000000,Baseline
185,0.3714674092,0.3714674092,0.0000000000,Baseline
184,0.3685518974,0.3685518974,0.0000000000,Baseline
183,0.3705658422,0.3705658422,0.0000000000,ReverseGreedy
182,0.3679240916,0.3679240916,0.0000000000,Baseline
181,0.3699567899,0.3699568214,0.0000000315,ReverseGreedy
180,0.3673490625,0.3673490625,0.0000000000,Baseline
179,0.3694012919,0.3694012919,0.0000000000,ReverseGreedy
178,0.3714765801,0.3714765801,0.0000000000,ReverseGreedy
177,0.3683201441,0.3683201441,0.0000000000,Baseline
176,0.3691157403,0.3691157403,0.0000000000,Baseline
175,0.3712249731,0.3712249731,0.0000000000,ReverseGreedy
174,0.3686388763,0.3686388763,0.0000000000,Baseline
173,0.3706137024,0.3706137024,0.0000000000,Baseline
172,0.3727543271,0.3727684332,0.0000141061,ReverseGreedy
171,0.3742943214,0.3742943214,0.0000000000,Baseline
170,0.3669639757,0.3669639757,0.0000000000,Baseline
169,0.3674353508,0.3674353508,0.0000000000,Baseline
168,0.3696224660,0.3696224660,0.0000000000,ReverseGreedy
167,0.3690074222,0.3690074222,0.0000000000,Baseline
166,0.3671879003,0.3671879003,0.0000000000,Baseline
165,0.3694112211,0.3694132815,0.0000020604,ReverseGreedy
164,0.3666148142,0.3666148142,0.0000000000,Baseline
163,0.3688635677,0.3688639849,0.0000004172,ReverseGreedy
162,0.3674762171,0.3674762171,0.0000000000,Baseline
161,0.3697579698,0.3697586781,0.0000007083,ReverseGreedy
160,0.3681298840,0.3681298840,0.0000000000,Baseline
159,0.3704446886,0.3704451663,0.0000004778,ReverseGreedy
158,0.3689256702,0.3689256702,0.0000000000,Baseline
157,0.3711714795,0.3711714795,0.0000000000,Baseline
156,0.3639041494,0.3639041494,0.0000000000,Baseline
155,0.3662519181,0.3662519181,0.0000000000,ReverseGreedy
154,0.3686301773,0.3686301773,0.0000000000,ReverseGreedy
153,0.3683097787,0.3683097787,0.0000000000,Baseline
152,0.3707320805,0.3707328693,0.0000007888,ReverseGreedy
151,0.3684267474,0.3684267474,0.0000000000,Baseline
150,0.3688646805,0.3688646805,0.0000000000,Baseline
149,0.3713402824,0.3713402824,0.0000000000,ReverseGreedy
148,0.3673752804,0.3673752804,0.0000000000,Baseline
147,0.3684436833,0.3684436833,0.0000000000,Baseline
146,0.3700724111,0.3700724111,0.0000000000,Baseline
145,0.3681355037,0.3681355037,0.0000000000,Baseline
144,0.3656343824,0.3656343824,0.0000000000,Baseline
143,0.3681912662,0.3681912662,0.0000000000,ReverseGreedy
142,0.3693853260,0.3693853260,0.0000000000,Baseline
141,0.3717714693,0.3717714693,0.0000000000,Baseline
140,0.3696521749,0.3696521749,0.0000000000,Baseline
139,0.3721904504,0.3721904504,0.0000000000,Baseline
138,0.3700992509,0.3700992509,0.0000000000,Baseline
137,0.3703546821,0.3703546821,0.0000000000,Baseline
136,0.3685240505,0.3685240505,0.0000000000,Baseline
135,0.3712538583,0.3712538583,0.0000000000,ReverseGreedy
134,0.3682714855,0.3682714855,0.0000000000,Baseline
133,0.3691361202,0.3691361202,0.0000000000,Baseline
132,0.3707192077,0.3707232790,0.0000040713,Baseline+Opt
131,0.3699437026,0.3699437026,0.0000000000,Baseline
130,0.3665844389,0.3665844389,0.0000000000,Baseline
129,0.3694261787,0.3694261787,0.0000000000,ReverseGreedy
128,0.3678478835,0.3678478835,0.0000000000,Baseline
127,0.3694254827,0.3694254827,0.0000000000,Baseline
126,0.3708014042,0.3708014042,0.0000000000,Baseline
125,0.3714925345,0.3714925345,0.0000000000,Baseline
124,0.3713714187,0.3713714187,0.0000000000,Baseline
123,0.3701348993,0.3701348993,0.0000000000,Baseline
122,0.3704325311,0.3704325311,0.0000000000,Baseline
121,0.3668732133,0.3668732133,0.0000000000,Baseline
120,0.3699135618,0.3699135618,0.0000000000,Baseline
119,0.3687679963,0.3687679963,0.0000000000,Baseline
118,0.3718931488,0.3718931488,0.0000000000,ReverseGreedy
117,0.3684489072,0.3684489072,0.0000000000,Baseline
116,0.3716251908,0.3716251908,0.0000000000,ReverseGreedy
115,0.3693710589,0.3693710589,0.0000000000,Baseline
114,0.3703681458,0.3703681458,0.0000000000,Baseline
113,0.3707733588,0.3707733588,0.0000000000,Baseline
112,0.3693265002,0.3693265002,0.0000000000,Baseline
111,0.3726484157,0.3726537660,0.0000053503,ReverseGreedy
110,0.3708874255,0.3708874255,0.0000000000,Baseline
109,0.3689779177,0.3689779177,0.0000000000,Baseline
108,0.3723943799,0.3723943799,0.0000000000,ReverseGreedy
107,0.3681688912,0.3681688912,0.0000000000,Baseline
106,0.3716421826,0.3716421826,0.0000000000,ReverseGreedy
105,0.3671323627,0.3671323627,0.0000000000,Baseline
104,0.3696612735,0.3696612735,0.0000000000,Baseline
103,0.3708411945,0.3708411945,0.0000000000,Baseline
102,0.3706672089,0.3706672089,0.0000000000,Baseline
101,0.3676389237,0.3676389237,0.0000000000,Baseline
100,0.3693595325,0.3693595325,0.0000000000,Baseline
99,0.3675316409,0.3675316409,0.0000000000,Baseline
98,0.3712819637,0.3712819637,0.0000000000,ReverseGreedy
97,0.3717052253,0.3717052253,0.0000000000,Baseline
96,0.3672546756,0.3672546756,0.0000000000,Baseline
95,0.3711205142,0.3711205142,0.0000000000,ReverseGreedy
94,0.3671124761,0.3671124761,0.0000000000,Baseline
93,0.3670799857,0.3670799857,0.0000000000,Baseline
92,0.3704206667,0.3704206667,0.0000000000,Baseline
91,0.3711801475,0.3711801475,0.0000000000,Baseline
90,0.3720082090,0.3720082090,0.0000000000,Baseline
89,0.3721434846,0.3721434846,0.0000000000,Baseline
88,0.3697296588,0.3697296588,0.0000000000,Baseline
87,0.3726224487,0.3726224487,0.0000000000,Baseline
86,0.3718290228,0.3718290228,0.0000000000,Baseline
85,0.3716520640,0.3716520640,0.0000000000,Baseline
